iata_code,name,municipality,iso_country,iso_region,type,latitude_deg,longitude_deg
AAA,Anaa Airport,Anaa,PF,PF-U-A,medium_airport,-17.3526,-145.509995
AAC,El Arish International Airport,El Arish,EG,EG-SIN,large_airport,31.055324,33.827964
AAE,Annaba Rabah Bitat Airport,Annaba,DZ,DZ-23,large_airport,36.826781,7.81334
AAK,Aranuka Airport,Buariki,KI,KI-G,small_airport,0.185278,173.636993
AAL,Aalborg Airport,Aalborg,DK,DK-81,large_airport,57.094763,9.84993
AAN,Al Ain International Airport,Al Ain,AE,AE-AZ,large_airport,24.2617,55.6092
AAP,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID,ID-KI,medium_airport,-0.374478,117.250128
AAR,Aarhus Airport,Aarhus,DK,DK-82,large_airport,56.303331,10.618286
AAT,Altay Xuedu Airport,Altay,CN,CN-65,medium_airport,47.749886,88.085808
AAX,Romeu Zema Airport,Araxá,BR,BR-MG,medium_airport,-19.5632,-46.9604
AAY,Al Ghaydah International Airport,Al Ghaydah,YE,YE-MR,medium_airport,16.193341,52.174186
AAZ,Quezaltenango Airport,Quezaltenango,GT,GT-QZ,small_airport,14.8656,-91.501999
ABA,Abakan International Airport,Abakan,RU,RU-KK,large_airport,53.740002,91.385002
ABB,Asaba International Airport,Asaba,NG,NG-DE,large_airport,6.204167,6.665278
ABD,Abadan Ayatollah Jami International Airport,Abadan,IR,IR-06,large_airport,30.367887,48.230075
ABE,Lehigh Valley International Airport,Allentown/Bethlehem,US,US-PA,medium_airport,40.651773,-75.442797
ABI,Abilene Regional Airport,Abilene,US,US-TX,medium_airport,32.4113006592,-99.68190002440001
ABJ,Félix-Houphouët-Boigny International Airport,Abidjan,CI,CI-AB,large_airport,5.26139,-3.92629
ABK,Kebri Dahar Airport,Kebri Dahar,ET,ET-SO,medium_airport,6.732577,44.241339
ABL,Ambler Airport,Ambler,US,US-AK,medium_airport,67.105529,-157.855339
ABM,Northern Peninsula Airport,Bamaga,AU,AU-QLD,small_airport,-10.946194,142.455081
ABQ,Albuquerque International Sunport,Albuquerque,US,US-NM,large_airport,35.039976,-106.608925
ABR,Aberdeen Regional Airport,Aberdeen,US,US-SD,medium_airport,45.449100494384766,-98.42179870605469
ABS,Abu Simbel Airport,Abu Simbel,EG,EG-ASN,medium_airport,22.375924,31.611734
ABT,King Saud Bin Abdulaziz (Al Baha) Airport,Al-Baha,SA,SA-11,medium_airport,20.298506,41.636153
ABU,AA Bere Tallo (Haliwen) Airport,Atambua,ID,ID-NT,small_airport,-9.074841,124.903285
ABV,Nnamdi Azikiwe International Airport,Abuja,NG,NG-FC,large_airport,9.00679,7.26317
ABX,Albury Airport,East Albury,AU,AU-NSW,medium_airport,-36.066758,146.959148
ABY,Southwest Georgia Regional Airport,Albany,US,US-GA,medium_airport,31.532946,-84.196215
ABZ,Aberdeen International Airport,Aberdeen,GB,GB-SCT,large_airport,57.2019,-2.19778
ACA,General Juan N. Álvarez International Airport,Acapulco,MX,MX-GRO,large_airport,16.757126,-99.753113
ACC,Kotoka International Airport,Accra,GH,GH-AA,large_airport,5.605189800262451,-0.16678600013256073
ACE,César Manrique-Lanzarote Airport,San Bartolomé,ES,ES-CN,large_airport,28.945499,-13.6052
ACF,Aral Tarim Airport,Aral,CN,CN-65,small_airport,40.434748,81.26206
ACH,Sankt Gallen Altenrhein Airport,St. Gallen,CH,CH-SG,medium_airport,47.485001,9.56077
ACI,Alderney Airport,Saint Anne,GG,GG-A,medium_airport,49.706104,-2.21472
ACK,Nantucket Memorial Airport,Nantucket,US,US-MA,medium_airport,41.25310135,-70.06020355
ACT,Waco Regional Airport,Waco,US,US-TX,medium_airport,31.611299514770508,-97.23049926757812
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US,US-CA,medium_airport,40.978101,-124.109
ACX,Xingyi Wanfenglin Airport,Xingyi,CN,CN-52,medium_airport,25.083423,104.960804
ACY,Atlantic City International Airport,Atlantic City,US,US-NJ,medium_airport,39.456201,-74.577511
ADB,Adnan Menderes International Airport,Gaziemir,TR,TR-35,large_airport,38.2924,27.157
ADD,Addis Ababa Bole International Airport,Addis Ababa,ET,ET-AA,large_airport,8.97789,38.799301
ADE,Aden International Airport,Aden,YE,YE-AD,large_airport,12.829564,45.029976
ADF,Adıyaman Airport,Adıyaman,TR,TR-02,medium_airport,37.7314,38.468899
ADJ,Marka International (Amman Civil) Airport,Amman,JO,JO-AM,large_airport,31.9727,35.9916
ADK,Adak Airport,Adak,US,US-AK,medium_airport,51.883564,-176.642783
ADL,Adelaide International Airport,Adelaide,AU,AU-SA,large_airport,-34.947512,138.533393
ADQ,Kodiak Airport,Kodiak,US,US-AK,medium_airport,57.75,-152.4940033
ADU,Ardabil Airport,Ardabil,IR,IR-24,medium_airport,38.3256988525,48.4244003296
ADZ,Gustavo Rojas Pinilla International Airport,San Andrés,CO,CO-SAP,large_airport,12.5836,-81.7112
AEB,Baise (Bose) Bama Airport,Baise (Tianyang),CN,CN-45,medium_airport,23.7206,106.959999
AEP,Aeroparque Jorge Newbery,Buenos Aires,AR,AR-C,large_airport,-34.559419,-58.415536
AER,Sochi International Airport,Sochi,RU,RU-KDA,large_airport,43.449902,39.9566
AES,Ålesund Airport,Ålesund,NO,NO-15,large_airport,62.560443,6.110845
AET,Allakaket Airport,Allakaket,US,US-AK,small_airport,66.551804,-152.621994
AEU,Abu Musa Island Airport,Abu Musa,IR,IR-22,medium_airport,25.8757,55.033001
AEX,Alexandria International Airport,Alexandria,US,US-LA,medium_airport,31.325828,-92.546702
AEY,Akureyri International Airport,Akureyri,IS,IS-6,large_airport,65.656573,-18.072018
AFA,Suboficial Ay Santiago Germano Airport,San Rafael,AR,AR-M,medium_airport,-34.588299,-68.4039
AFL,Piloto Osvaldo Marques Dias Airport,Alta Floresta,BR,BR-MT,medium_airport,-9.866389,-56.106298
AFZ,Sabzevar National Airport,Sabzevar,IR,IR-09,medium_airport,36.16809844970703,57.59519958496094
AGA,Al Massira Airport,Agadir (Temsia),MA,MA-09,large_airport,30.322478,-9.412003
AGE,Wangerooge Airport,Wangerooge,DE,DE-NI,small_airport,53.782544,7.919584
AGH,Ängelholm-Helsingborg Airport,Ängelholm,SE,SE-M,medium_airport,56.29610061645508,12.847100257873535
AGI,Wageningen Airstrip,Wageningen,SR,SR-NI,small_airport,5.841252,-56.673247
AGJ,Aguni Airport,Aguni,JP,JP-47,small_airport,26.592755,127.240335
AGP,Málaga-Costa del Sol Airport,Málaga,ES,ES-AN,large_airport,36.6749,-4.49911
AGR,Agra Airport / Agra Air Force Station,Agra,IN,IN-UP,medium_airport,27.157975,77.961025
AGS,Augusta Regional At Bush Field,Augusta,US,US-GA,medium_airport,33.3699,-81.9645
AGT,Guaraní International Airport,Ciudad del Este,PY,PY-10,large_airport,-25.457186,-54.839544
AGU,Aguascalientes International Airport,Aguascalientes,MX,MX-AGU,large_airport,21.699589,-102.318372
AGX,Agatti Airport,Agatti,IN,IN-LD,medium_airport,10.8237,72.176003
AHA,Maa Mahamaya Airport,Ambikapur,IN,IN-CT,medium_airport,22.98753,83.19612
AHB,Abha International Airport,Abha,SA,SA-14,large_airport,18.2404,42.656601
AHE,Ahe Airport,Ahe Atoll,PF,PF-U-A,medium_airport,-14.428099632263184,-146.2570037841797
AHO,Alghero-Fertilia Airport,Alghero,IT,IT-88,medium_airport,40.632099,8.29077
AHU,Cherif Al Idrissi Airport,Al Hoceima,MA,MA-01,medium_airport,35.177101,-3.83952
AIA,Alliance Municipal Airport,Alliance,US,US-NE,medium_airport,42.052543,-102.803965
AIN,Wainwright Airport,Wainwright,US,US-AK,medium_airport,70.638,-159.994995
AIP,Adampur Airport,Adampur,IN,IN-PB,small_airport,31.4338,75.758797
AIT,Aitutaki Airport,Aitutaki,CK,CK-U-A,small_airport,-18.8309,-159.764008
AIU,Enua Airport,Atiu Island,CK,CK-U-A,small_airport,-19.96780014038086,-158.11900329589844
AJA,Ajaccio Napoléon Bonaparte airport,Ajaccio,FR,FR-COR,medium_airport,41.923599,8.80292
AJF,Al-Jawf International Airport,Al-Jawf,SA,SA-12,large_airport,29.783301,40.100905
AJI,Ağrı Airport,Ağrı,TR,TR-04,medium_airport,39.655642,43.025742
AJL,Lengpui Airport,Aizawl (Lengpui),IN,IN-MZ,medium_airport,23.840599,92.619698
AJN,Ouani Airport,Ouani,KM,KM-A,medium_airport,-12.131047,44.430044
AJR,Arvidsjaur Airport,Arvidsjaur,SE,SE-BD,medium_airport,65.59030151367188,19.28190040588379
AJU,Aracaju - Santa Maria Airport,Aracaju,BR,BR-SE,medium_airport,-10.98394,-37.072873
AKA,Ankang Fuqiang Airport,Ankang (Hanbin),CN,CN-61,small_airport,32.75696,108.87338
AKB,Atka Airport,Atka,US,US-AK,small_airport,52.220299,-174.205994
AKF,Kufra Airport,Kufra,LY,LY-KF,medium_airport,24.178699493408203,23.31399917602539
AKI,Akiak Airport,Akiak,US,US-AK,small_airport,60.902646,-161.23106
AKJ,Asahikawa Airport,Higashikagura,JP,JP-01,medium_airport,43.670799,142.447006
AKK,Akhiok Airport,Akhiok,US,US-AK,small_airport,56.938702,-154.182999
AKL,Auckland International Airport,Auckland,NZ,NZ-AUK,large_airport,-37.01199,174.786331
AKN,King Salmon Airport,King Salmon,US,US-AK,medium_airport,58.677845,-156.651965
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,US,US-AK,medium_airport,68.133598,-151.742996
AKR,Akure Airport,Akure,NG,NG-ON,medium_airport,7.246739864349365,5.3010101318359375
AKS,Gwaunaru'u Airport,Auki,SB,SB-ML,small_airport,-8.70257,160.682007
AKU,Aksu Hongqipo Airport,Aksu (Onsu),CN,CN-65,medium_airport,41.262501,80.291702
AKV,Akulivik Airport,Akulivik,CA,CA-QC,small_airport,60.8186,-78.148598
AKX,Aktobe International Airport,Aktobe,KZ,KZ-AKT,large_airport,50.248116,57.204144
